Genus,mean_relative_abundance,rank
Raineya,9.832297080749081e-6,274
Babeliaceae Genus,9.762639097393882e-6,275
Parcubacteria Genus,9.696660858055052e-6,276
Simkaniaceae Genus,9.605401950324206e-6,277
Kocuria,9.592906910274083e-6,278
Candidatus Ovatusbacter,9.458075076425757e-6,279
Sphingobium,9.315104813422034e-6,280
Ideonella,9.044303271207223e-6,281
Paludibaculum,9.033811225594035e-6,282
Sandaracinus,8.958499168332968e-6,283
Rhodospirillales Genus,8.575134335774218e-6,284
Stella,8.44966583139266e-6,285
Levilactobacillus,8.313806478267365e-6,286
Anaerovorax,8.310533271880838e-6,287
Propionivibrio,8.273499416386252e-6,288
Polyangiaceae Genus,8.012884515311213e-6,289
Vampirovibrio,7.5464604042150486e-6,290
Flectobacillus,7.4317449255652375e-6,291
Elsteraceae Genus,7.273845860705391e-6,292
IMCC26134,7.071674828274269e-6,293
Lactobacillus,6.462454452481815e-6,294
Anoxybacillus,6.423563968477819e-6,295
Serinicoccus,6.160439057603749e-6,296
Bryobacteraceae Genus,6.1192470858213435e-6,297
Babeliales Genus,6.111921589858912e-6,298
Truepera,5.74300732215192e-6,299
Alphaproteobacteria Genus,5.4443583598092326e-6,300
KD4-96 Genus,5.4097722730479785e-6,301
CL500-29 marine group,5.253365863521029e-6,302
Stagnimonas,5.141679529735434e-6,303
Acetivibrio,4.820831666292449e-6,304
SM1A02,4.723869517864294e-6,305
RBG-13-54-9 Genus,4.6549801524302964e-6,306
Ottowia,4.464619605285486e-6,307
37-13 Genus,4.289859682306005e-6,308
Bryobacter,4.178403459912697e-6,309
IS-44,4.018234272504478e-6,310
Dyadobacter,3.988931536284067e-6,311
Aquicella,3.915856042201893e-6,312
Mariniblastus,3.8993867534204655e-6,313
CL500-3,3.820854164794468e-6,314
Granulicatella,3.8191559509464495e-6,315
Aeromicrobium,3.742240314548312e-6,316
Parvibium,3.617413721194022e-6,317
Paraclostridium,3.4472879700167003e-6,318
Perlucidibaca,3.2473886778744873e-6,319
Limnobacter,3.196354498732396e-6,320
Latilactobacillus,3.1813926303860017e-6,321
SM2D12 Genus,2.968481037845824e-6,322
Armatimonadota Genus,2.9138937374070673e-6,323
Allomeiothermus,2.9069616506224463e-6,324
Saccharimonadales Genus,2.8893136592942932e-6,325
Paraconexibacter,2.8742201026335876e-6,326
Methyloversatilis,2.8566049025994224e-6,327
Candidatus Nomurabacteria Genus,2.8279957623277403e-6,328
Lautropia,2.6500265782077404e-6,329
Dongia,2.615359742616886e-6,330
PB19 Genus,2.557659952695247e-6,331
Ramlibacter,2.5117968497282223e-6,332
Arthrobacter,2.3775908996925617e-6,333
Abditibacterium,2.268209133168937e-6,334
Geminicoccaceae Genus,2.1823748291122566e-6,335
Vagococcus,2.0857184960155972e-6,336
Thermoactinomycetaceae Genus,1.948664424600971e-6,337
Methylocystis,1.9278339875548605e-6,338
Leuconostoc,1.8810055115081122e-6,339
Lacibacter,1.6996065764860139e-6,340
NS11-12 marine group Genus,1.6457856761066276e-6,341
Loigolactobacillus,1.6323014316643807e-6,342
DEV007 Genus,1.5416180187941373e-6,343
Candidatus Finniella,1.4541373629475535e-6,344
Sporocytophaga,1.4031554856053956e-6,345
Trueperella,1.3014724611525965e-6,346
Chloracidobacterium,1.236180372623395e-6,347
Rothia,1.200093500817988e-6,348
Enterococcus,1.1512961030142808e-6,349
LiUU-11-161 Genus,1.0494595898860055e-6,350
Lysinibacillus,9.89322038332739e-7,351
Brucella,9.514526567729686e-7,352
Chloronema,8.962453213400387e-7,353
KD3-10,8.900817782862932e-7,354
Bacilli Genus,8.627616645384728e-7,355
Turicibacter,8.571666093142591e-7,356
Silvanigrellaceae Genus,8.278738435622353e-7,357
Noviherbaspirillum,7.966897540718316e-7,358
Ellin6055,7.879308689153886e-7,359
Terrisporobacter,7.505633916458542e-7,360
Rickettsiella,6.89439510300965e-7,361
Ligilactobacillus,6.817715781793693e-7,362
Candidatus Captivus,5.641883988158316e-7,363
Microbulbifer,5.455937072780641e-7,364
Knoellia,4.951644100580271e-7,365
Leucobacter,4.884113931027938e-7,366
Rubripirellula,4.5341706435121685e-7,367
Enhydrobacter,4.1304421156399877e-7,368
Thermomicrobiales Genus,4.072266548720399e-7,369
Rhizorhabdus,3.896633990143464e-7,370
Candidatus Bealeia,3.723785943378345e-7,371
Frisingicoccus,3.175658703067337e-7,372
Ilumatobacter,2.2088915616476786e-7,373
Marinomonas,1.940321530680849e-7,374
Methylobacterium,1.9053952218404022e-7,375
Peptoniphilus,1.9053952218404022e-7,376
JGI 0001001-H03,1.7430069833574788e-7,377
Pediococcus,1.6621691140721732e-7,378
Micrococcus,1.5320497139918527e-7,379
Aerococcus,1.3489892529398691e-7,380
