Tank.ID,Treatment,Taxon,log2_abund,percent_mortality,prevalence,rho,p_value,q_value,TaxonFacet
18,A+ T- P+,Flavobacterium,-10.69805433322145,46.7,95.83333333333334,-0.613444855217685,0.0014333869739413295,0.002866773947882659,"Flavobacterium
Spearman rho = -0.61, q = 0.00287
Prevalence = 96%"
18,A+ T- P+,Shewanella,-9.355453882725579,46.7,100,-0.6178203534717341,0.0012952695877842596,0.002866773947882659,"Shewanella
Spearman rho = -0.62, q = 0.00287
Prevalence = 100%"
19,A+ T+ P-,Cetobacterium,-9.185005764452406,53.3,100,-0.5040573988664573,0.012022550589105016,0.012022550589105016,"Cetobacterium
Spearman rho = -0.5, q = 0.012
Prevalence = 100%"
19,A+ T+ P-,Culicoidibacter,-7.212061392235619,53.3,100,-0.5552507284388318,0.004854520507646155,0.006472694010194874,"Culicoidibacter
Spearman rho = -0.56, q = 0.00647
Prevalence = 100%"
19,A+ T+ P-,Flavobacterium,-14.217725536708835,53.3,95.83333333333334,-0.613444855217685,0.0014333869739413295,0.002866773947882659,"Flavobacterium
Spearman rho = -0.61, q = 0.00287
Prevalence = 96%"
19,A+ T+ P-,Shewanella,-8.32219749901349,53.3,100,-0.6178203534717341,0.0012952695877842596,0.002866773947882659,"Shewanella
Spearman rho = -0.62, q = 0.00287
Prevalence = 100%"
20,A+ T+ P-,Cetobacterium,-8.715179848138702,93.3,100,-0.5040573988664573,0.012022550589105016,0.012022550589105016,"Cetobacterium
Spearman rho = -0.5, q = 0.012
Prevalence = 100%"
20,A+ T+ P-,Culicoidibacter,-10.715870252727152,93.3,100,-0.5552507284388318,0.004854520507646155,0.006472694010194874,"Culicoidibacter
Spearman rho = -0.56, q = 0.00647
Prevalence = 100%"
20,A+ T+ P-,Flavobacterium,-14.729748184482487,93.3,95.83333333333334,-0.613444855217685,0.0014333869739413295,0.002866773947882659,"Flavobacterium
Spearman rho = -0.61, q = 0.00287
Prevalence = 96%"
20,A+ T+ P-,Shewanella,-11.762654439055781,93.3,100,-0.6178203534717341,0.0012952695877842596,0.002866773947882659,"Shewanella
Spearman rho = -0.62, q = 0.00287
Prevalence = 100%"
21,A+ T+ P-,Cetobacterium,-8.542453615672834,53.3,100,-0.5040573988664573,0.012022550589105016,0.012022550589105016,"Cetobacterium
Spearman rho = -0.5, q = 0.012
Prevalence = 100%"
21,A+ T+ P-,Culicoidibacter,-5.585818118655193,53.3,100,-0.5552507284388318,0.004854520507646155,0.006472694010194874,"Culicoidibacter
Spearman rho = -0.56, q = 0.00647
Prevalence = 100%"
21,A+ T+ P-,Flavobacterium,-13.830548333342975,53.3,95.83333333333334,-0.613444855217685,0.0014333869739413295,0.002866773947882659,"Flavobacterium
Spearman rho = -0.61, q = 0.00287
Prevalence = 96%"
21,A+ T+ P-,Shewanella,-9.204547997384422,53.3,100,-0.6178203534717341,0.0012952695877842596,0.002866773947882659,"Shewanella
Spearman rho = -0.62, q = 0.00287
Prevalence = 100%"
22,A+ T+ P+,Cetobacterium,-6.33476201269074,13.3,100,-0.5040573988664573,0.012022550589105016,0.012022550589105016,"Cetobacterium
Spearman rho = -0.5, q = 0.012
Prevalence = 100%"
22,A+ T+ P+,Culicoidibacter,-6.2996806047463645,13.3,100,-0.5552507284388318,0.004854520507646155,0.006472694010194874,"Culicoidibacter
Spearman rho = -0.56, q = 0.00647
Prevalence = 100%"
22,A+ T+ P+,Flavobacterium,-7.860400012410546,13.3,95.83333333333334,-0.613444855217685,0.0014333869739413295,0.002866773947882659,"Flavobacterium
Spearman rho = -0.61, q = 0.00287
Prevalence = 96%"
22,A+ T+ P+,Shewanella,-5.430955725127513,13.3,100,-0.6178203534717341,0.0012952695877842596,0.002866773947882659,"Shewanella
Spearman rho = -0.62, q = 0.00287
Prevalence = 100%"
23,A+ T+ P+,Cetobacterium,-8.125392124994644,46.7,100,-0.5040573988664573,0.012022550589105016,0.012022550589105016,"Cetobacterium
Spearman rho = -0.5, q = 0.012
Prevalence = 100%"
23,A+ T+ P+,Culicoidibacter,-8.724014997994791,46.7,100,-0.5552507284388318,0.004854520507646155,0.006472694010194874,"Culicoidibacter
Spearman rho = -0.56, q = 0.00647
Prevalence = 100%"
23,A+ T+ P+,Flavobacterium,-10.818125689089648,46.7,95.83333333333334,-0.613444855217685,0.0014333869739413295,0.002866773947882659,"Flavobacterium
Spearman rho = -0.61, q = 0.00287
Prevalence = 96%"
23,A+ T+ P+,Shewanella,-5.6469917608979365,46.7,100,-0.6178203534717341,0.0012952695877842596,0.002866773947882659,"Shewanella
Spearman rho = -0.62, q = 0.00287
Prevalence = 100%"
24,A+ T+ P+,Cetobacterium,-10.666580216637028,73.3,100,-0.5040573988664573,0.012022550589105016,0.012022550589105016,"Cetobacterium
Spearman rho = -0.5, q = 0.012
Prevalence = 100%"
24,A+ T+ P+,Culicoidibacter,-10.105743371285996,73.3,100,-0.5552507284388318,0.004854520507646155,0.006472694010194874,"Culicoidibacter
Spearman rho = -0.56, q = 0.00647
Prevalence = 100%"
24,A+ T+ P+,Flavobacterium,-12.679959612605472,73.3,95.83333333333334,-0.613444855217685,0.0014333869739413295,0.002866773947882659,"Flavobacterium
Spearman rho = -0.61, q = 0.00287
Prevalence = 96%"
24,A+ T+ P+,Shewanella,-11.714906718854518,73.3,100,-0.6178203534717341,0.0012952695877842596,0.002866773947882659,"Shewanella
Spearman rho = -0.62, q = 0.00287
Prevalence = 100%"
