"feature"	"metadata"	"value"	"name"	"coef"	"null_hypothesis"	"stderr"	"pval_individual"	"qval_individual"	"pval_joint"	"qval_joint"	"error"	"model"	"N"	"N_not_zero"
"Nitrospira"	"Parasite_Exposed"	"Exposed"	"Parasite_ExposedExposed"	-1.53847530455213	-0.511589220750174	0.587497817233421	0.0918832021022864	0.17641574803639	0.0918832021022864	0.141653269907692	NA	"abundance"	235	58
"Aquabacterium"	"Parasite_Exposed"	"Exposed"	"Parasite_ExposedExposed"	0.477336550596286	-0.511589220750174	0.574135945008545	0.0953102722923049	0.180587884343315	0.181536496580177	0.244249104489692	NA	"abundance"	235	80
"Cytophagales Genus"	"Parasite_Exposed"	"Exposed"	"Parasite_ExposedExposed"	0.621727358553858	-0.511589220750174	0.671262669134561	0.0995598132444018	0.186189780612907	0.189207470075543	0.250024156885539	NA	"abundance"	235	87
"Phreatobacter"	"Parasite_Exposed"	"Exposed"	"Parasite_ExposedExposed"	-3.34089718404806	0	2.13169324973108	0.117056164616282	0.216103688522366	0.0111448146074292	0.0284977204144776	NA	"prevalence"	235	228
"Bdellovibrio"	"Parasite_Exposed"	"Exposed"	"Parasite_ExposedExposed"	0.267333334373405	-0.511589220750174	0.482767188388435	0.120965439908876	0.220493966416178	8.19547778918495e-06	5.51332142181533e-05	NA	"abundance"	235	96
"Sphaerotilus"	"Parasite_Exposed"	"Exposed"	"Parasite_ExposedExposed"	-1.82374244421822	-0.511589220750174	0.829508669772983	0.123650498921571	0.222570898058828	0.123650498921571	0.186645563110705	NA	"abundance"	235	49
"Haliangiaceae Genus"	"Parasite_Exposed"	"Exposed"	"Parasite_ExposedExposed"	-1.45282496856764	-0.511589220750174	0.62282036243893	0.139514036717213	0.245133561444953	0.139514036717213	0.198539206097572	NA	"abundance"	235	103
"Hyphomicrobiales Incertae Sedis Genus"	"Parasite_Exposed"	"Exposed"	"Parasite_ExposedExposed"	0.0533954024802737	-0.511589220750174	0.363061455898763	0.141292261110633	0.245133561444953	0.00543637627030648	0.0154727632308723	NA	"abundance"	235	168
"OM190 Genus"	"Parasite_Exposed"	"Exposed"	"Parasite_ExposedExposed"	-0.417322875150782	0	0.285748661748067	0.144165245804814	0.247140421379681	0.267546873511666	0.34734155508532	NA	"prevalence"	235	70
"Aquihabitans"	"Parasite_Exposed"	"Exposed"	"Parasite_ExposedExposed"	0.370034636561724	0	0.26717957347286	0.166062850923556	0.281330006270495	0.131944176260492	0.191448412613262	NA	"prevalence"	235	141
"Comamonadaceae Genus"	"Parasite_Exposed"	"Exposed"	"Parasite_ExposedExposed"	0.0862483751497335	-0.511589220750174	0.430972417123302	0.182881606259097	0.30622036396872	5.75190036871404e-08	1.0641015682121e-06	NA	"abundance"	235	131
"Rhodovastum"	"Parasite_Exposed"	"Exposed"	"Parasite_ExposedExposed"	-0.0960936360747815	-0.511589220750174	0.291866232682788	0.191145624601255	0.312783749347508	0.345754599398306	0.426430672591244	NA	"abundance"	235	132
"Emticicia"	"Parasite_Exposed"	"Exposed"	"Parasite_ExposedExposed"	-0.375954781239279	0	0.28669469892095	0.189742266596262	0.312783749347508	0.0160036731545892	0.0365619244347126	NA	"prevalence"	235	69
"Devosia"	"Parasite_Exposed"	"Exposed"	"Parasite_ExposedExposed"	0.081359363894476	-0.511589220750174	0.45536248035263	0.207800575924973	0.336216662170742	0.0065307543168638	0.0178991044239971	NA	"abundance"	235	97
"Nitrosomonas"	"Parasite_Exposed"	"Exposed"	"Parasite_ExposedExposed"	-0.331026460856158	0	0.292958924255143	0.258500854582599	0.413601367332158	0.450179017345264	0.53731044005725	NA	"prevalence"	235	64
