gene_id,TaxaID,correlation,p_value,fdr,abs_correlation,comparison_name,base_treatment,comparison_treatment
parp14rs1,Tundrisphaera,-0.5986284598455343,0.04295704295704296,0.05988901609339565,0.5986284598455343,A- T- P- vs A+ T- P+,A- T- P-,A+ T- P+
si:ch211-108p6.4,Tundrisphaera,-0.5980322748566335,0.06593406593406594,0.07364565259302101,0.5980322748566335,A- T- P- vs A+ T- P+,A- T- P-,A+ T- P+
myo18ab,Tundrisphaera,-0.5972114628441128,0.0969030969030969,0.09844942291750802,0.5972114628441128,A- T- P- vs A+ T- P+,A- T- P-,A+ T- P+
dgkza,Acinetobacter,0.5956280976500942,0.00199800199800199,0.01908091908091908,0.5956280976500942,A- T- P- vs A+ T- P+,A- T- P-,A+ T- P+
dnmt3ba,Tundrisphaera,-0.5954759024074352,0.01898101898101898,0.04647916186377725,0.5954759024074352,A- T- P- vs A+ T- P+,A- T- P-,A+ T- P+
znf367,Tundrisphaera,-0.5954329432722885,0.00699300699300699,0.0360990360990361,0.5954329432722885,A- T- P- vs A+ T- P+,A- T- P-,A+ T- P+
sap130b,Acinetobacter,0.5946026254282677,0.00499500499500499,0.0340730697873555,0.5946026254282677,A- T- P- vs A+ T- P+,A- T- P-,A+ T- P+
parp10,Tundrisphaera,-0.594580758063012,0.07992007992007992,0.08433555394881362,0.594580758063012,A- T- P- vs A+ T- P+,A- T- P-,A+ T- P+
uba7,Tundrisphaera,-0.5924502971870835,0.05994005994005994,0.06980824053994786,0.5924502971870835,A- T- P- vs A+ T- P+,A- T- P-,A+ T- P+
brms1,Tundrisphaera,-0.592446771739263,0.02397602397602397,0.0477022977022977,0.592446771739263,A- T- P- vs A+ T- P+,A- T- P-,A+ T- P+
pitpnb,Tundrisphaera,-0.5923537144011115,0.01098901098901099,0.04000837871805614,0.5923537144011115,A- T- P- vs A+ T- P+,A- T- P-,A+ T- P+
mfn1b,Tundrisphaera,-0.5921939437181825,0.02597402597402597,0.04816542680620351,0.5921939437181825,A- T- P- vs A+ T- P+,A- T- P-,A+ T- P+
rnf115a,Tundrisphaera,-0.5913756864614035,0.06693306693306693,0.07389720106483112,0.5913756864614035,A- T- P- vs A+ T- P+,A- T- P-,A+ T- P+
tap2t,Tundrisphaera,-0.5912265057558573,0.01198801198801198,0.04000837871805614,0.5912265057558573,A- T- P- vs A+ T- P+,A- T- P-,A+ T- P+
dtx2,Tundrisphaera,-0.5907150484758209,0.02797202797202797,0.05088245088245088,0.5907150484758209,A- T- P- vs A+ T- P+,A- T- P-,A+ T- P+
dpp3,Tundrisphaera,-0.5903793426455519,0.06493506493506493,0.07338815031122722,0.5903793426455519,A- T- P- vs A+ T- P+,A- T- P-,A+ T- P+
cd74b,Tundrisphaera,-0.589922189899102,0.03496503496503497,0.05474034162558753,0.589922189899102,A- T- P- vs A+ T- P+,A- T- P-,A+ T- P+
dnph1,Tundrisphaera,-0.5889736065194202,0.00699300699300699,0.0360990360990361,0.5889736065194202,A- T- P- vs A+ T- P+,A- T- P-,A+ T- P+
LOC100007727,Tundrisphaera,-0.5868530281071446,0.04495504495504495,0.0613315256172399,0.5868530281071446,A- T- P- vs A+ T- P+,A- T- P-,A+ T- P+
btr31,Tundrisphaera,-0.5850785016538697,0.06893106893106893,0.07480587594223957,0.5850785016538697,A- T- P- vs A+ T- P+,A- T- P-,A+ T- P+
cdk18,Tundrisphaera,-0.5839104532035081,0.01498501498501498,0.04271847555429645,0.5839104532035081,A- T- P- vs A+ T- P+,A- T- P-,A+ T- P+
prps1b,Acinetobacter,0.582733431766412,0.00599400599400599,0.0346925801471256,0.582733431766412,A- T- P- vs A+ T- P+,A- T- P-,A+ T- P+
polb,Acinetobacter,0.5805779191124005,0.08091908091908091,0.08492057393156294,0.5805779191124005,A- T- P- vs A+ T- P+,A- T- P-,A+ T- P+
ywhae1,Acinetobacter,0.5797642276429248,9.99000999000999e-4,0.01908091908091908,0.5797642276429248,A- T- P- vs A+ T- P+,A- T- P-,A+ T- P+
cs,Tundrisphaera,-0.5787830250858712,0.06393606393606394,0.0726892155463584,0.5787830250858712,A- T- P- vs A+ T- P+,A- T- P-,A+ T- P+
irf9,Tundrisphaera,-0.5770054356395036,0.04195804195804196,0.05892636774989716,0.5770054356395036,A- T- P- vs A+ T- P+,A- T- P-,A+ T- P+
ppp5c,Tundrisphaera,-0.5766517802768382,0.01298701298701298,0.04000837871805614,0.5766517802768382,A- T- P- vs A+ T- P+,A- T- P-,A+ T- P+
ifi27.7,Comamonadaceae Genus,-0.5765708209423877,0.00999000999000999,0.04000837871805614,0.5765708209423877,A- T- P- vs A+ T- P+,A- T- P-,A+ T- P+
zgc:194906,Tundrisphaera,-0.5760456678129989,0.03196803196803197,0.05474034162558753,0.5760456678129989,A- T- P- vs A+ T- P+,A- T- P-,A+ T- P+
casp22,Tundrisphaera,-0.5753708805399353,0.00199800199800199,0.01908091908091908,0.5753708805399353,A- T- P- vs A+ T- P+,A- T- P-,A+ T- P+
si:ch211-271e10.2,Tundrisphaera,-0.5704057745027336,0.02697302697302697,0.04953700146007838,0.5704057745027336,A- T- P- vs A+ T- P+,A- T- P-,A+ T- P+
chchd6b,Tundrisphaera,-0.5700905067443103,0.03896103896103896,0.05813717532467532,0.5700905067443103,A- T- P- vs A+ T- P+,A- T- P-,A+ T- P+
mcm3,Tundrisphaera,-0.5691127518039434,0.01498501498501498,0.04271847555429645,0.5691127518039434,A- T- P- vs A+ T- P+,A- T- P-,A+ T- P+
ifi44a1,Tundrisphaera,-0.568195903162597,0.02597402597402597,0.04816542680620351,0.568195903162597,A- T- P- vs A+ T- P+,A- T- P-,A+ T- P+
acot8,Tundrisphaera,-0.5660824238837312,0.05194805194805195,0.06360306360306361,0.5660824238837312,A- T- P- vs A+ T- P+,A- T- P-,A+ T- P+
si:dkey-25e12.3,Tundrisphaera,-0.5623866303280836,0.04195804195804196,0.05892636774989716,0.5623866303280836,A- T- P- vs A+ T- P+,A- T- P-,A+ T- P+
mfsd9,Tundrisphaera,-0.5584073171630979,0.07292707292707293,0.07825320746669062,0.5584073171630979,A- T- P- vs A+ T- P+,A- T- P-,A+ T- P+
gmpr2,Tundrisphaera,-0.5562401063068707,0.01998001998001998,0.0477022977022977,0.5562401063068707,A- T- P- vs A+ T- P+,A- T- P-,A+ T- P+
baxb,Acinetobacter,0.5554945012351666,0.00199800199800199,0.01908091908091908,0.5554945012351666,A- T- P- vs A+ T- P+,A- T- P-,A+ T- P+
tmem14a,Comamonadaceae Genus,-0.5545573078650887,0.00299700299700299,0.02289710289710289,0.5545573078650887,A- T- P- vs A+ T- P+,A- T- P-,A+ T- P+
LOC100330485,Tundrisphaera,-0.545591812483706,0.01198801198801198,0.04000837871805614,0.545591812483706,A- T- P- vs A+ T- P+,A- T- P-,A+ T- P+
etv7,Tundrisphaera,-0.5439678009491139,0.02097902097902098,0.0477022977022977,0.5439678009491139,A- T- P- vs A+ T- P+,A- T- P-,A+ T- P+
rarres3l,Tundrisphaera,-0.5438319843108914,0.02097902097902098,0.0477022977022977,0.5438319843108914,A- T- P- vs A+ T- P+,A- T- P-,A+ T- P+
dlc,Tundrisphaera,-0.5414547480540726,0.02397602397602397,0.0477022977022977,0.5414547480540726,A- T- P- vs A+ T- P+,A- T- P-,A+ T- P+
mcm6,Tundrisphaera,-0.5394274244462364,0.01798201798201798,0.0457942057942058,0.5394274244462364,A- T- P- vs A+ T- P+,A- T- P-,A+ T- P+
si:ch211-217k17.10,Tundrisphaera,-0.5362226188515338,0.01698301698301698,0.04383454383454384,0.5362226188515338,A- T- P- vs A+ T- P+,A- T- P-,A+ T- P+
LOC103911103,Tundrisphaera,-0.5359302445843417,0.01898101898101898,0.04647916186377725,0.5359302445843417,A- T- P- vs A+ T- P+,A- T- P-,A+ T- P+
xkr8.4,Tundrisphaera,-0.5354038855562201,0.05494505494505494,0.06678321678321679,0.5354038855562201,A- T- P- vs A+ T- P+,A- T- P-,A+ T- P+
casp10,Tundrisphaera,-0.5332418895639727,0.04695304695304695,0.06227799977799977,0.5332418895639727,A- T- P- vs A+ T- P+,A- T- P-,A+ T- P+
irf1b,Tundrisphaera,-0.5299584974267507,0.01298701298701298,0.04000837871805614,0.5299584974267507,A- T- P- vs A+ T- P+,A- T- P-,A+ T- P+
fbxo44.8,Tundrisphaera,-0.5276731179837317,0.02297702297702297,0.0477022977022977,0.5276731179837317,A- T- P- vs A+ T- P+,A- T- P-,A+ T- P+
mhc2daa,Tundrisphaera,-0.5258090858349022,0.02597402597402597,0.04816542680620351,0.5258090858349022,A- T- P- vs A+ T- P+,A- T- P-,A+ T- P+
si:dkey-58f10.13,Tundrisphaera,-0.5221934438470558,0.03396603396603397,0.05474034162558753,0.5221934438470558,A- T- P- vs A+ T- P+,A- T- P-,A+ T- P+
rad9a,Acinetobacter,0.5153415707386323,0.03296703296703297,0.05474034162558753,0.5153415707386323,A- T- P- vs A+ T- P+,A- T- P-,A+ T- P+
si:ch211-284e13.9,Tundrisphaera,-0.5153386141695654,0.08391608391608392,0.08663768663768663,0.5153386141695654,A- T- P- vs A+ T- P+,A- T- P-,A+ T- P+
mep1a.1,Comamonadaceae Genus,-0.514278134575009,0.00299700299700299,0.02289710289710289,0.514278134575009,A- T- P- vs A+ T- P+,A- T- P-,A+ T- P+
adpgk,Paenirhodobacter,-0.5087850536795991,9.99000999000999e-4,0.01908091908091908,0.5087850536795991,A- T- P- vs A+ T- P+,A- T- P-,A+ T- P+
mhc2daa,Paenirhodobacter,-0.5068415361570412,9.99000999000999e-4,0.01908091908091908,0.5068415361570412,A- T- P- vs A+ T- P+,A- T- P-,A+ T- P+
ifi44a8,Tundrisphaera,-0.5051264698905407,0.02097902097902098,0.0477022977022977,0.5051264698905407,A- T- P- vs A+ T- P+,A- T- P-,A+ T- P+
si:ch73-106k19.4,Tundrisphaera,-0.5008499056070659,0.01098901098901099,0.04000837871805614,0.5008499056070659,A- T- P- vs A+ T- P+,A- T- P-,A+ T- P+
mep1a.2,Comamonadaceae Genus,-0.49916717729631616,0.01598401598401598,0.0429992542668599,0.49916717729631616,A- T- P- vs A+ T- P+,A- T- P-,A+ T- P+
si:dkey-58f10.6,Tundrisphaera,-0.4950262752926756,0.03396603396603397,0.05474034162558753,0.4950262752926756,A- T- P- vs A+ T- P+,A- T- P-,A+ T- P+
hspa12a.2,Tundrisphaera,-0.4947252873730501,0.02597402597402597,0.04816542680620351,0.4947252873730501,A- T- P- vs A+ T- P+,A- T- P-,A+ T- P+
LOC100331050,Tundrisphaera,-0.4936271179477773,0.03096903096903096,0.05474034162558753,0.4936271179477773,A- T- P- vs A+ T- P+,A- T- P-,A+ T- P+
dnajc24,Acinetobacter,0.48828038463916534,0.07792207792207792,0.08268398268398268,0.48828038463916534,A- T- P- vs A+ T- P+,A- T- P-,A+ T- P+
pdzk1,Comamonadaceae Genus,-0.4805632137057728,0.00199800199800199,0.01908091908091908,0.4805632137057728,A- T- P- vs A+ T- P+,A- T- P-,A+ T- P+
slc6a20,Comamonadaceae Genus,-0.4598935514616004,9.99000999000999e-4,0.01908091908091908,0.4598935514616004,A- T- P- vs A+ T- P+,A- T- P-,A+ T- P+
